date,start,end,type,number,title,speaker,affiliation,city,country,status,notes
2026-10-09,08:45,08:55,oral,24,MRI-Guided In-Bore Percutaneous Transgluteal Prostate Biopsy at 0.55T,Serdar Sagdic,University of Michigan,"Ann Arbor, MI",United States,,
2026-10-09,08:55,09:05,oral,25,MRI-Guided Cryoablation for Primary and Salvage Prostate Cancer Treatment: Initial Patient Experience,Lauren Marlatt,University of Wisconsin-Madison,"Madison, WI",United States,,
2026-10-09,09:05,09:15,oral,26,Cost-Effective Needle Tract Verification Using Susceptibility-Weighted Imaging (SWI) in MR-Guided Prostate Biopsy,Can Yüksel,University Hospital RWTH Aachen,Aachen,Germany,,
2026-10-09,09:15,09:25,oral,27,Accuracy and Verification of an MR-Compatible Transperineal Biopsy Device,J.G.R,Radboudumc,Nijmegen,Netherlands,,
2026-10-09,09:25,09:35,oral,28,Four-Year Experience with MRI-Guided Focal Prostate Cryoablation,Vipul Sheth,Stanford University,"Stanford, CA",United States,,
2026-10-09,09:35,09:45,oral,29,In-Bore MRI-Guided Trans-Perineal Partial Gland Cryoablation for Primary Prostate Cancer: A Prospective Study,David Woodrum,Mayo Clinic,"Rochester, MN",United States,,
2026-10-09,09:45,10:15,session,,RadOnc Sub-session,,,,,,
2026-10-09,09:45,09:55,oral,30,MR Guided Brachytherapy of Small Liver Lesions – Optimizing Dose Delivery and Local Tumor Control (Results of the MR BRIGHT Trial),Matthias Philipp Fabritius,LMU University Hospital,Munich,Germany,,
2026-10-09,09:55,10:05,oral,31,End-to-End MRI & MRT-guided cervical-cancer brachytherapy interventions,Majd Antaki,Johns Hopkins University,"Baltimore, MD",United States,,
2026-10-09,10:05,10:15,oral,32,Automated Detection of Syed-Neblett Applicators and Interstitial Needles on PETRA MRI Images,Evangelia Kaza,Mass General Brigham,"Boston, MA",United States,,
2026-10-09,10:15,10:45,break,,Coffee Break and Visit Exhibits,,,,,,
2026-10-09,10:45,11:50,session,,Session VII — Neuro,"Moderators: Peter LaViolette, Second Moderator TBD",,,,,
2026-10-09,10:45,11:00,invited_talk,33,Invited Talk: Radio-pathomic Mapping of Brain Tumor Invasion,"Peter LaViolette PhD, Medical College of Wisconsin",,"Milwaukee, WI",United States,confirmed,
2026-10-09,11:00,11:10,oral,34,Brain Proton MRS Thermometry Enhanced by Fiber Orientation Susceptibility Correction,Adisorn Yimsuk,Tokai University,Kanagawa,Japan,,
2026-10-09,11:10,11:20,oral,35,Clinical Feasibility of an MRI-Compatible Motorized Alignment Device for MRI-Guided Deep Brain Stimulation: Initial Experience,Pedro Moreira,Brigham and Women's Hospital,"Boston, MA",United States,,
2026-10-09,11:20,11:30,oral,36,Investigating the Thermal Effect of Interstitial Photodynamic Therapy for Glioblastoma Treatment: A Combined Experimental and Numerical Study,Manon Desclides,University of Bordeaux,Bordeaux,France,,
