category,number,subid,author,institution,city,country,title
Body,66,129,Eric Stinson,Mayo Clinic,"Rochester, MN",United States,Optimization of Flip Angle for Dynamic Contrast-Enhanced MR Lymphangiography with Gadopiclenol
Body,67,53,Wayne Stenzel,Mayo Clinic,"Rochester, MN",United States,First-in-Human Safety and Feasibility of Nodal MR Lymphangiography with Gadopiclenol
Body,68,113,Pan Su,Siemens Medical Solutions,"Malvern, PA",United States,Feasibility of MR Guided Lung Biopsy at 0.55T Using 3D Stack-of-Spirals UTE
Body,69,23,David Woodrum,Mayo Clinic,"Rochester, MN",United States,Combined MRI-Guided Microwave Ablation and Cryoablation for Hepatic Tumors in a Single Session: A Single-Center Feasibility and Safety Report
Neuro,70,22,Setayesh Sotoudehnia Korani,Mayo Clinic,"Rochester, MN",United States,MRI-Guided Cryoablation for Residual Limb Neuroma Pain After Transtibial Amputation and Targeted Muscle Reinnervation: A Case Report
Neuro,71,75,Ola Mohamed,Mayo Clinic,"Rochester, MN",United States,MR-Guided Cryoneurolysis for Painful Neuropathy - A Case Series
Neuro,72,96,Dalton Bermudez,University of Wisconsin-Madison,"Madison, WI",United States,Methods for Simulating Advanced MR Guided Cortical Brain Gene Therapy
Neuro,73,131,Mrinal Singh,Mayo Clinic,"Rochester, MN",United States,Brain Laser Interstitial Thermal Therapy (LITT) in Drug-Resistant Epilepsy: Case Examples
MR Thermometry,74,115,Zhengyu Lin,Fujian Medical University,Fuzhou,China,Microwave Ablation of Liver Tumor Assisted by Magnetic Resonance Thermometry Based on Proton Resonance Frequency Displacement Method
MR Thermometry,75,148,Jonas Frederik Faust,Siemens Healthineers,Erlangen,Germany,Respiratory-Triggered Real-Time PRF Thermometry in the Liver at 0.55 T
MR Thermometry,76,123,Dominik Horstmann,Hannover Medical School,Hannover,Germany,Volumetric 3D Stack-of-Spirals PRFS Thermometry at 0.55 T for MR-Guided Hepatic Microwave Ablation: Initial Feasibility
MR Thermometry,77,57,Eber Dantas,Federal University of Rio de Janeiro,Rio de Janeiro,Brazil,A Subvoxel Correction of Boiling-Induced Susceptibility Artifacts in MR Thermometry and Dosimetry for Monitoring MW Thermoablation
MR Thermometry,78,52,Yuqing Fan,Cornell University,"New York, NY",United States,MR-Compatible Testbed for MR Thermometry in Liver Microwave Ablation with Heat-Sink Effect
MR Thermometry,79,151,Ana Sofia Garcia,Otto-von-Guericke University,Magdeburg,Germany,Using Fiber Bragg Grating Sensor Arrays to Validate MR Thermometry
Safety,80,104,Setayesh Sotoudehnia Korani,Mayo Clinic,"Rochester, MN",United States,Safety and Efficacy of Live Intraprocedural Neuromonitoring During Interventional MRI Guided Ablation: A Retrospective Analysis
Safety,81,87,Laura Maria Bauer,LMU University Hospital,Munich,Germany,Technical Performance and Quality Assessment of Clinical Interventional MR Microwave Applicators for Microwave Ablation Procedures
Safety,82,132,Aiming Lu,Mayo Clinic,"Rochester, MN",United States,Effective Wire Heating Risk Mitigation for Intraoperative Neurophysiological Monitoring during MRI-Guided Ablations
Safety,83,133,Janis Seibt,Otto-von-Guericke University,Magdeburg,Germany,Reliability of Vendor-Provided Gradient Data for Interventional Off-Center MR Imaging
Safety,84,134,Aiming Lu,Mayo Clinic,"Rochester, MN",United States,Mitigation of RF Heating and Needle Artifacts in MRI-Guided Interventions Using RF Chokes
